movie_name,year,genres,rating
Breaking,2022,"Crime, Drama, Thriller",6.2
Chicago,2002,"Comedy, Crime, Musical",7.2
Fast Five,2011,"Action, Crime, Thriller",7.3
Kindergarten Cop,1990,"Action, Comedy, Crime",6.2
"O Brother, Where Art Thou?",2000,"Adventure, Comedy, Crime",7.7
Cruella,2021,"Adventure, Comedy, Crime",7.3
The House That Jack Built,2018,"Crime, Drama, Horror",6.8
The Girl Next Door,2007,"Crime, Drama, Horror",6.5
Law Abiding Citizen,2009,"Action, Crime, Drama",7.4
The Fast and the Furious: Tokyo Drift,2006,"Action, Crime, Thriller",6.0
Army of Thieves,2021,"Action, Comedy, Crime",6.4
Bad Boys II,2003,"Action, Comedy, Crime",6.6
Butch Cassidy and the Sundance Kid,1969,"Biography, Crime, Drama",8.0
L.A. Confidential,1997,"Crime, Drama, Mystery",8.2
The Iceman,2012,"Biography, Crime, Drama",6.8
Strange Days,1995,"Crime, Drama, Sci-Fi",7.2
City of Lies,2018,"Biography, Crime, Drama",6.5
The Equalizer 2,2018,"Action, Crime, Thriller",6.7
Cape Fear,1991,"Crime, Thriller",7.3
Swimming Pool,2003,"Crime, Drama, Mystery",6.7
Hustlers,2019,"Comedy, Crime, Drama",6.3
John Q,2002,"Crime, Drama, Thriller",7.1
Bad Boys for Life,2020,"Action, Comedy, Crime",6.5
Taken,2008,"Action, Crime, Thriller",7.8
"Confess, Fletch",2022,"Comedy, Crime",6.5
21,2008,"Crime, Drama, History",6.8
Dick Tracy,1990,"Action, Comedy, Crime",6.2
A Time to Kill,1996,"Crime, Drama, Thriller",7.5
Molly's Game,2017,"Biography, Crime, Drama",7.4
Hitman's Wife's Bodyguard,2021,"Action, Comedy, Crime",6.1
To Live and Die in L.A.,1985,"Action, Crime, Drama",7.3
BlacKkKlansman,2018,"Biography, Comedy, Crime",7.5
Burn,2019,"Comedy, Crime, Thriller",5.7
Life,1999,"Comedy, Crime, Drama",6.8
Layer Cake,2004,"Action, Crime, Drama",7.3
Twins,1988,"Comedy, Crime",6.1
Game Night,2018,"Action, Adventure, Comedy",6.9
American Gangster,2007,"Biography, Crime, Drama",7.8
Man on Fire,2004,"Action, Crime, Drama",7.7
Malignant,2021,"Crime, Horror, Mystery",6.2
The Assassination of Jesse James by the Coward Robert Ford,2007,"Biography, Crime, Drama",7.5
Mr. & Mrs. Smith,2005,"Action, Comedy, Crime",6.5
Traffic,2000,"Crime, Drama, Thriller",7.6
A History of Violence,2005,"Action, Crime, Drama",7.4
The Other Guys,2010,"Action, Comedy, Crime",6.6
Sicario: Day of the Soldado,2018,"Action, Crime, Drama",7.0
The Fugitive,1993,"Action, Crime, Drama",7.8
Miss Willoughby and the Haunted Bookshop,2021,"Adventure, Crime, Mystery",5.3
Furious 6,2013,"Action, Crime, Thriller",7.0
Face/Off,1997,"Action, Crime, Sci-Fi",7.3
Thelma & Louise,1991,"Adventure, Crime, Drama",7.5
Heathers,1988,"Comedy, Crime",7.2
The Mask,1994,"Action, Comedy, Crime",6.9
Central Intelligence,2016,"Action, Comedy, Crime",6.3
The Lincoln Lawyer,2011,"Crime, Drama, Mystery",7.3
The Tax Collector,2020,"Action, Crime, Drama",4.8
A Simple Favor,2018,"Comedy, Crime, Mystery",6.8
The Place Beyond the Pines,2012,"Crime, Drama, Thriller",7.3
Broker,2022,"Comedy, Crime, Drama",7.1
RED,2010,"Action, Comedy, Crime",7.0
Jack Reacher: Never Go Back,2016,"Action, Crime, Drama",6.1
Collateral,2004,"Action, Crime, Drama",7.5
The Equalizer 3,2023,"Action, Crime, Thriller",
Jackie Brown,1997,"Crime, Drama, Thriller",7.5
The Talented Mr. Ripley,1999,"Crime, Drama, Thriller",7.4
Despicable Me,2010,"Animation, Adventure, Comedy",7.6
West Side Story,1961,"Crime, Drama, Musical",7.6
The Drop,2014,"Crime, Drama, Thriller",7.0
Lethal Weapon,1987,"Action, Crime, Thriller",7.6
Wanted,2008,"Action, Crime, Thriller",6.7
The Weekend Away,2022,"Crime, Drama, Mystery",5.6
Kill Bill: Vol. 2,2004,"Action, Crime, Thriller",8.0
Now You See Me 2,2016,"Action, Adventure, Comedy",6.4
Loving Adults,2022,"Crime, Drama, Thriller",6.5
Slumdog Millionaire,2008,"Crime, Drama, Romance",8.0
Under the Silver Lake,2018,"Crime, Drama, Mystery",6.5
The Italian Job,2003,"Action, Crime, Thriller",7.0
Step Up,2006,"Crime, Drama, Music",6.5
Focus,2015,"Comedy, Crime, Drama",6.6
Cold Pursuit,2019,"Action, Comedy, Crime",6.2
Horrible Bosses,2011,"Comedy, Crime",6.9
American Made,2017,"Action, Comedy, Crime",7.1
